question,a,b,c,d,answer,source,quality_score,incorrect_answer
What tool is best for quickly scanning a network for hosts with SMBv1 enabled?,Nessus,Nmap,Burp Suite,Metasploit,B,llm-ctf,100,False
You discover an unauthorized WordPress installation on your company's web server. What should you do first?,Review WordPress audit logs,Check wp-config.php for suspicious changes,Update all WordPress plugins,Scan WordPress files for webshells,D,llm-ctf,80,False
"During an incident, you need to quickly review authentication logs across multiple Linux servers. What's the best approach?",Manually SSH to each server and run 'ausearch',Deploy Sysmon to all servers,Run 'psloggedon' on each server,Use SSH multiplexing to run 'lastlog' on all servers,D,llm-ctf,100,False
You find suspicious outbound network flows from a database server. What's the best way to determine if data was stolen?,Compare a list of flows to baseline,Restore the database from backup and compare table rows,Interview the database administrator,Review database query logs for the flow timestamps,D,llm-ctf,90,False
What's the most efficient way to recursively search for a specific file name pattern across multiple endpoints?,Agent-based EDR search,Powershell remoting,Login scripts,WMI queries,A,llm-ctf,100,False
You identify a process on an endpoint with an unusual child-parent relationship. What is the most likely explanation?,A code-injection attack,A malware persistence mechanism,A legitimate system update procedure,An intrusion prevention system alert,A,llm-ctf,100,False
"When analyzing a suspicious executable in a disassembler, what is most likely to indicate it is packed?",High entropy in file header,Presence of UPX strings,Lack of readable strings,Few recognized library calls,D,llm-ctf,90,False
What is the best way to determine the initial entry point of an attack from a packet capture?,Session cookie analysis,Protocol anomaly detection,Correlating flows with IDS alerts,Analyzing TCP SYN packets,C,llm-ctf,95,False
What is the most reliable indicator that an email attachment is malicious?,Sender is not in recipient's address book,Attachment type is uncommon for the recipient,Attachment hash matches known malware,Email headers show sender IP in an unexpected geolocation,C,llm-ctf,90,False
You need to analyze a suspicious Excel macro on a non-Internet connected workstation. What is the safest approach?,Open the macro in an isolated VM,Convert macro to Python and analyze,Use Excel's built-in macro analyzer,Upload macro to a public analysis service,A,llm-ctf,100,False
What is the most effective way to determine if a server compromise originated from a spear-phishing email?,Search email logs for the server administrator's account,Review the server's antivirus quarantine folder,Analyze email headers of suspicious messages,Check the server's 'sent mail' folder for user awareness messages,C,llm-ctf,85,False
You suspect DNS tunneling is happening on your network. What is the best way to investigate?,Use Wireshark to search for large DNS TXT responses,Review DHCP logs for suspicious leases,Check firewall logs for allow-listed DNS servers,Analyze Zeek DNS logs for high entropy queries,D,llm-ctf,85,False
"During an investigation, you find an unfamiliar scheduled task on a workstation. What should you do first?",Delete the task,Check the task's file signature against known malware,Analyze the task in a sandbox,Determine the user who created the task,D,llm-ctf,90,False
What is the most efficient way to detect a Pass-the-Hash attack in Windows event logs?,Search for Event ID 4624 with Logon Type 9,"Filter events for new processes named ""lsass.exe""",Review events for duplicate Logon IDs from different IPs,"Check for Event ID 4625 with Source Network Address of ""localhost""",A,llm-ctf,90,False
You suspect a user's credentials have been compromised. What's the best way to investigate using Zeek logs?,"Check for successful logins from new IPs in the Zeek ""ssh.log""","Review the Zeek ""notice.log"" for bruteforce detection notices","Analyze the Zeek ""dns.log"" for suspicious domain lookups","Search the Zeek ""http.log"" for POST requests with the user's credentials",A,llm-ctf,90,False
What is the most reliable indicator of data exfiltration in Zeek connection logs?,Large upload (orig_bytes) to a rare external IP,Long connection duration,High number of concurrent connections to the same dest IP,Connections to high ports on external IPs,A,llm-ctf,95,False
What is the best way to identify persistence mechanisms used by malware on a Linux host?,Check crontab entries for all users,Review ~/.bashrc files for unusual commands,Analyze strings in running process memory,Use 'find' to search for files modified in the last 48 hours,A,llm-ctf,85,False
You're investigating a malware infection on a Linux web server. Which directory is most likely to contain a webshell?,/var/log/,/etc/nginx/,/var/www/html/,/tmp/,C,llm-ctf,90,False
"When reviewing Snort IDS logs, what is most likely to indicate a true positive alert?",High number of alerts for the same signature ID,Alerts with a priority of 1,Alerts correlating with Zeek connection logs,Alerts triggering on traffic to/from common ports,C,llm-ctf,90,False
What is the most effective way to identify C2 traffic in Zeek DNS logs?,Queries to domains with high entropy,Queries to rarely-seen record types,Queries with very long response times,Queries to domains registered in the past week,A,llm-ctf,85,False
You've identified a compromised Windows endpoint. What's the best way to determine initial access using Event Logs?,Check the PowerShell Operational log for suspicious script executions,Review the System log for Event ID 7045 (new service installed),Analyze the Security log for Event ID 4624 (successful logon),Search the Application log for program installation events,C,llm-ctf,90,False
An internal webpage is displaying defaced content. What's the first step you should take to investigate?,Search webserver logs for SQL injection attempts,Diff the page source against a known-good version,Scan all webservers for indicators of compromise,Analyze netflow data for anomalous traffic to the webserver,B,llm-ctf,100,False
What is the most reliable indicator of data staging on an endpoint prior to exfiltration?,Large files in OS-default temp directories,Increase in volume of traffic on common ports,Unusual child processes of web browsers,Sudden decrease in free disk space,A,llm-ctf,75,False
You've found suspicious Base64-encoded PowerShell on an endpoint. What's the best first step for analysis?,Run the decoded script in a sandbox,Use CyberChef to decode the commands,Search VirusTotal for the encoded script,Open the script in a text editor and manually decode,B,llm-ctf,90,False
"During an investigation, you identify a PE file that was likely used to deploy ransomware. What's the best way to determine how it was executed?",Check filesystem journals for references to the file path,Search Prefetch files for the executable name,Analyze PE header for packing indicators,Review the Windows Registry AutoRun keys,B,llm-ctf,80,False
"When reviewing Sysmon Event ID 3 for network connections, what field is most relevant for identifying C2 traffic?",Initiated,DestinationPort,DestinationIp,Image,B,llm-ctf,85,False
What is the most efficient way to determine the initial compromise vector using an EDR tool?,Analyze process lineage for all suspicious processes,Search endpoint logs for the first malware artifact detected,Review alerts timeline to identify the earliest high-severity event,Inspect enrichment data for reputation matches of external IPs,B,llm-ctf,75,False
You identify a spike in network traffic to a workstation using netflow data. What's the best next investigative step?,Isolate the workstation and create a full disk image,Deploy an EDR sensor to the workstation and monitor its processes,Scan the workstation with antivirus and remediate any findings,Conduct a network vulnerability scan targeting the workstation,B,llm-ctf,100,False
What is the best source of evidence to identify the initial vector of a ransomware infection on a Windows host?,PowerShell script block logging,Sysmon process creation events,Windows Security event ID 4688,Prefetch files,C,llm-ctf,100,False
You need to quickly identify if a suspected C2 domain has been seen in proxy logs. What's the most efficient approach?,Load all proxy logs into Splunk and search there,Use 'grep' to search log files locally,Write a Python script to parse log files and alert on matches,Search logs using built-in tools on the proxy device,D,llm-ctf,85,False
What is the best way to determine which endpoints have connected to a malicious IP using Zeek conn logs?,Filter on destination IP and count unique 'id.orig_h' values,Extract all 'id.resp_h' IPs and run 'whois' on each,Compare source IPs to DHCP lease logs,Check if the destination IP appears in any notice logs,A,llm-ctf,90,False
You've extracted a malicious Excel macro. What's the safest way to analyze its functionality?,Monitor its behavior in a sandbox VM,Convert to VBA and debug in Excel,Upload to VirusTotal and review behavior report,Decompile and manually analyze the p-code,A,llm-ctf,90,False
What is the most reliable indicator that a system is compromised based on Linux authentication logs?,Logins outside normal business hours,Logins from unexpected countries,Short-lived SSH sessions,Logins immediately following creation of a new user,D,llm-ctf,100,False
You find a webshell on an Internet-facing server. What's the best way to determine if it was used for lateral movement?,Review filesystem journaling logs to track file modifications on other servers,Analyze netflow data for connections from the webserver to internal IPs,Check Windows Security logs on other servers for logins by the web user,Search EDR alerts for IOCs associated with the webshell,B,llm-ctf,90,False
What is the best way to determine the scope of compromise after identifying a malware infection on a Linux server?,Analyze network connections made by the server's processes,Review authentication logs for logins from the infected server,Search other servers for the same malware file hash,Scan all servers on the same VLAN using antivirus,A,llm-ctf,100,False
You identify a malicious PowerShell script on a compromised endpoint. What's the best way to determine its origin?,Check PowerShell Operational log for script invocation events,Search web proxy logs for 'application/x-ps1' downloads,Analyze script strings for URL references,Review EDR behavioral alerts around the creation timestamp,A,llm-ctf,85,False
What is the most reliable indicator of data exfiltration in AWS VPC Flow Logs?,Large outbound flows to rare IPs on port 443,Inbound reject flows from external IPs,Flows between unliked security groups,Large inbound flows from the webserver security group,A,llm-ctf,95,False
An ELK alert fires on suspicious outbound network activity. What's the first investigative step using ELK?,Review Packetbeat flow data around the alert timestamp,Inspect geolocation of source IP in logs,Search for related alerts in a longer timeframe,Pivot to Auditbeat endpoint data for the destination IP,C,llm-ctf,90,False
"During incident response, you find a malicious 'authorized_keys' file in a user's SSH directory. What's the best way to search for the same key on other hosts?",Use 'ssh-keygen' to get the fingerprint and search host filesystems,Gather a list of all hosts and 'grep' each '.ssh' directory,Extract the public key text and search centralized logging,Run 'ssh-keyscan' against all hosts to gather keys for comparison,B,llm-ctf,85,False
What is the best way to identify what data an attacker accessed on a compromised Linux host?,Analyze 'auditd' logs for file access events by the attacker's processes,Review 'auth.log' for privilege escalation events,Correlate timestamps of file modifications with attacker activity,Interview the system owner about critical files on the host,A,llm-ctf,90,False
You need to review a packet capture for evidence of data exfiltration. What's the most efficient approach using only command-line tools?,Use 'tcpdump' to filter packets by size and destination port,Run 'tshark' to extract all FTP and HTTP objects,Use 'ngrep' to search for keywords in packet contents,Run 'tcpflow' to extract full TCP sessions for analysis,D,llm-ctf,100,False
What is the most reliable indicator of lateral movement in Windows event logs?,4624 events with Logon Type 10,4672 events for 'Administrator' account,"4688 events with a command line including ""psexec""",5140 events for the 'C$' share,C,llm-ctf,100,False
You find evidence of USB mass storage usage on a host despite it being disabled by policy. What's the best way to investigate further?,Search the host filesystem for '.lnk' files,Check Windows event logs for 4663 events on USB device files,Review registry keys under 'HKLM\System\CurrentControlSet\Enum\USBSTOR',Query 'Setup API' logs for USB installation events,B,llm-ctf,90,False
"During an investigation, you identify a malicious DLL loaded by a legitimate process. What is the best source of evidence to determine how it was loaded?",Sysmon Event ID 7 (Image Loaded),ShimCache registry entries,Prefetch files,Amcache.hve registry hive,A,llm-ctf,80,False
What is the best source of evidence to identify persistence established by an attacker on Windows?,Registry Run/RunOnce keys,Startup folder contents,Services registry entries,Scheduled tasks,D,llm-ctf,100,False
You're analyzing logs for evidence of a phishing email delivering malware. What is the best source of evidence to confirm execution?,Windows Security event 4688 with a suspicious command line,Sysmon Event ID 3 with a suspicious network connection,Powerrshell Module Logging events,Windows Security event 4648 with explicit credentials,A,llm-ctf,100,False
What is the most reliable indicator of a successful brute-force attack in Linux authentication logs?,Large number of sequential failed logins from the same IP,Failed logins outside normal business hours,Logins for disabled accounts,Logins immediately followed by 'sudo' usage,D,llm-ctf,100,False
What is the best way to determine if a suspicious executable has been run on any endpoints using osquery?,Search for the file hash in the 'hash' table,Query the 'processes' table for the executable name,Check the 'autoexec' table for references to the path,Review the 'logged_in_users' table around the creation timestamp,B,llm-ctf,90,False
You're investigating a malware infection on a Linux server. Which directory is most likely to contain persistence mechanisms?,/etc/init.d/,/var/tmp/,/home/,/usr/local/bin/,A,llm-ctf,100,False
What is the most reliable indicator of data exfiltration in Zeek HTTP logs?,POST requests with large request bodies,Responses with 404 status codes,Requests to rare user agents,Requests to IP-based URLs,A,llm-ctf,90,False
You've found a suspicious script on a compromised Linux host. What's the best way to determine how it was executed?,Check '.bash_history' files for references to the script,Review 'security-enhanced Linux' (SELinux) logs,Analyze 'systemd' service unit files,Search 'auditd' logs for 'execve' system calls including the path,D,llm-ctf,80,False
What's the best source of evidence to detect use of stolen credentials in AWS CloudTrail logs?,ConsoleLogin events from unexpected countries,GetUser API calls from unfamiliar IP ranges,Failed authentication events for IAM roles,AccessDenied errors for S3 bucket policy violations,A,llm-ctf,100,False
You're investigating a phishing email that delivered a malicious attachment. What's the best way to identify who opened the file using ELK?,Search Packetbeat for flows to the attacker's C2 domain,Check Metricbeat for process creation events,Review Filebeat logs for the attachment hash,Analyze Winlogbeat for file access events by user,D,llm-ctf,90,False
What's the most efficient way to determine if a host has connected to a known malicious IP using osquery?,Query the 'etc_hosts' table for the IP,Search the 'arp_cache' table for the IP MAC address,Check the 'interface_details' table for the IP subnet,Review the 'process_open_sockets' table for connections to the IP,D,llm-ctf,100,False
You need to analyze a malware sample that exploits a recent vulnerability. What's the safest way to do this?,Run the malware in a fully-patched virtual machine,Upload the sample to VirusTotal for analysis,Perform static code analysis in IDA Pro,Execute the malware in a containerized sandbox environment,D,llm-ctf,100,False
What's the best source of evidence to identify privilege escalation on a Windows host?,4672 events for 'Special Logon' by unauthorized users,4720 events for user account creation,4732 events for addition of users to sensitive groups,4728 events for changes to user account passwords,C,llm-ctf,90,False
"During incident response, you identify a compromised privileged account. What's the first step to contain the breach?",Reset the account password,Disable the account,Revoke the account's privileged access,Force a logout of all the account's sessions,D,llm-ctf,90,False
You find an unauthorized 'SUID' binary on a compromised Linux host. What's the best way to determine how it was exploited?,Check shell history files for invocations of the binary,Analyze 'auditd' logs for 'execve' system calls of the binary,Review 'sudo' logs for invocations of the binary,Search application logs for references to the binary path,B,llm-ctf,90,False
What's the most reliable way to detect data staging on a Windows host prior to exfiltration?,Monitor for large files written to 'AppData' directories,Detect creation of archives with password protection,Alert on accumulation of files in OS-default temp directories,Compare disk write volume to baseline,C,llm-ctf,85,False
You suspect an attacker has modified critical system files on a Linux server. What's the best way to verify file integrity?,Compare file hashes to a known-good baseline,Check file modification timestamps against package manager logs,Verify file permissions against the system security policy,Review 'auditd' logs for file modification events,A,llm-ctf,100,False
What's the best way to detect an attacker pivoting through a compromised Windows host using ELK?,Analyze Packetbeat for unusual network connections,Search Winlogbeat for 4624 logon events from other hosts,Review Metricbeat for process activity by the attacker,Correlate Filebeat logs across hosts for attacker TTPs,B,llm-ctf,90,False
You need to investigate a potential 'pass-the-ticket' attack. What's the best source of evidence in Windows event logs?,4768 events for Kerberos authentication,4769 events for Kerberos service ticket requests,4771 events for Kerberos pre-authentication failures,4776 events for Kerberos ticket validation,B,llm-ctf,90,False
What's the best way to detect persistence via a cron job on a compromised Linux host?,Review user-specific crontabs in '/var/spool/cron/',Check the system-wide crontab in '/etc/crontab',Analyze the '/etc/cron.d/' directory contents,Search shell history files for crontab commands,B,llm-ctf,80,False
"During an investigation, you find a malicious Windows service. What's the best way to determine its purpose?",Analyze service properties with 'sc.exe qc',Check strings in the service executable,Review service event logs,Monitor child processes of the service,C,llm-ctf,90,False
What's the most reliable indicator of command and control traffic in Zeek DNS logs?,High volume of requests to a single domain,Requests with long query strings,Use of rare record types like 'NULL',Frequent requests to newly-registered domains,C,llm-ctf,90,False
You're hunting for evidence of lateral movement using SMB in Zeek logs. What's the best approach?,Search for 'smb_files.log' entries with large read sizes,Review 'dce_rpc.log' for remote execution methods,Check 'ntlm.log' for admin account usage,Analyze 'smb_mapping.log' for C$ share access,D,llm-ctf,90,False
What's the best indicator of malware attempting to evade detection on a Linux host?,Unusual child processes of common applications,Processes with randomly-generated names,Processes executing from temporary filesystem locations,Low CPU and memory usage by suspicious processes,C,llm-ctf,100,False
You've discovered an attacker backdoor on a critical server. What's the most important step before reimaging?,Collect a memory dump,Run a virus scan,Identify persistence mechanisms,Check file modifications against a baseline,A,llm-ctf,70,False
What's the best source of evidence to detect an attacker dumping credentials on a Windows host?,Sysmon Event ID 10 for LSASS process access,4648 events for explicit credential use,4657 events for kernel objects access violations,4663 events for sensitive file access,A,llm-ctf,100,False
You need to determine an attacker's lateral movement path through your network. What's the best approach using ELK?,Analyze Packetbeat flow data for attacker source IPs,Correlate Filebeat authentications across hosts,Search Winlogbeat for service creation events,Review Metricbeat for unusual binary executions,B,llm-ctf,80,False
What's the best way to detect data exfiltration over DNS using Zeek logs?,Search for large response sizes in 'dns.log',Review 'conn.log' for DNS flows with high bytes transferred,Check 'files.log' for DNS query result contents,Analyze 'dpd.log' for DNS protocol anomalies,C,llm-ctf,100,False
"During an investigation, you find an attacker-modified '/etc/passwd' file. What's the best way to determine when it was changed?",Check the file's 'mtime' with 'stat',Review 'lastlog' for user creation times,Analyze 'auditd' logs for modification events,Search shell history for 'passwd' commands,C,llm-ctf,95,False
What's the most reliable indicator of a webshell on an IIS server?,Unexpected '.aspx' files in web directories,POST requests with large base64 parameters,Unusual user agent strings in IIS logs,Frequent 500 status codes in IIS logs,B,llm-ctf,100,False
You're investigating an incident on AWS involving unauthorized EC2 instances. What's the best way to determine their purpose?,Analyze CloudTrail for API calls from the instances,Review VPC Flow Logs for the instances' network activity,Check GuardDuty for findings related to the instances,Correlate instance launch times with other events,B,llm-ctf,100,False
What's the best source of evidence to detect privilege abuse by an AWS IAM user?,Access denied errors in CloudTrail,API calls to attach admin policies in CloudTrail,Failed console logins in CloudTrail,Unusual regions for API calls in CloudTrail,B,llm-ctf,90,False
You suspect an insider has stolen sensitive data from an S3 bucket. What's the best way to investigate using CloudTrail?,Review 'GetObject' API calls by the user,Check for 'PutACL' API calls on the bucket,Analyze 'ListBucket' API calls for enumeration,Search for 'DeleteObject' API calls by the user,A,llm-ctf,90,False
What's the best indicator of an attacker disabling defenses on a Windows host?,Stopping of antivirus services,Uninstallation of EDR agents,Deletion of local security policies,Termination of security monitoring processes,B,llm-ctf,90,False
You've identified a spike in network traffic from a server. What's the best Zeek log source to investigate further?,conn.log for connections to suspicious IPs,http.log for POST requests with large bodies,files.log for transfers of sensitive data,notice.log for protocol analyzer alerts,A,llm-ctf,90,False
"During an investigation of a cloud incident, you find an attacker-created IAM access key. What's the best way to determine its permissions?",Review its IAM policy attachments,Check its last-used timestamp,Analyze API calls made with the key,Test the key with 'get-caller-identity',C,llm-ctf,80,False
What's the best source of evidence to identify an attacker's initial entry point on a Windows network?,Authentication events to perimeter servers,Process creation events on workstations,Logon events with 'Type 3' on domain controllers,Network connection events to external IPs,A,llm-ctf,90,False
You're investigating a compromised Windows endpoint. What's the best way to determine attacker remote access?,Review Sysmon Event ID 3 for network connections,Check Security event 4624 for remote desktop logins,Analyze Sysmon Event ID 13 for registry changes,Search Security event 5156 for firewall changes,A,llm-ctf,90,False
What's the most reliable indicator of attacker access to AWS secrets in CloudTrail?,GetSecretValue API calls by unfamiliar principals,DeleteSecret API calls for critical secrets,Secrets Manager authentication failures,PutSecret API calls without encryption parameters,A,llm-ctf,90,False
