questions,choices,answers,model,results,prompts
Which of the following attacks is not included in the USB-IDS-1 dataset?,"('Hulk', 'TCPFlood', 'Slowloris', 'SQL Injection')",D,gpt-4,D,"Which of the following attacks is not included in the USB-IDS-1 dataset?
A. Hulk
B. TCPFlood
C. Slowloris
D. SQL Injection
Answer:"
What effect does the Reqtimeout defense module have on the Slowloris attack?,"('Completely mitigated the attack', 'Delayed the drop in server throughput', 'Caused Slowloris to generate more packets', 'Had no significant impact on Slowloris')",C,gpt-4,A,"What effect does the Reqtimeout defense module have on the Slowloris attack?
A. Completely mitigated the attack
B. Delayed the drop in server throughput
C. Caused Slowloris to generate more packets
D. Had no significant impact on Slowloris
Answer:"
"Given an alert from an EDR tool, what artifacts would you collect from the endpoint to determine if the activity is malicious?","('Process memory dump', 'Registry hives', 'Network connections', 'All of the above')",D,gpt-4,D,"Given an alert from an EDR tool, what artifacts would you collect from the endpoint to determine if the activity is malicious?
A. Process memory dump
B. Registry hives
C. Network connections
D. All of the above
Answer:"
You discover backdoor malware on a critical server. What should be your first step to limit damage?,"('Patch the vulnerability exploited by the malware', 'Isolate the server from the network', 'Attempt to remove the malware', 'Notify the server owner')",B,gpt-4,B,"You discover backdoor malware on a critical server. What should be your first step to limit damage?
A. Patch the vulnerability exploited by the malware
B. Isolate the server from the network
C. Attempt to remove the malware
D. Notify the server owner
Answer:"
Which Sysinternals tool is most useful for investigating a suspicious process on a workstation?,"('Process Explorer', 'Autoruns', 'PsFile', 'Handle')",A,gpt-4,A,"Which Sysinternals tool is most useful for investigating a suspicious process on a workstation?
A. Process Explorer
B. Autoruns
C. PsFile
D. Handle
Answer:"
"In addition to isolating an infected server, what other step is crucial for preservation of evidence?","('Creating a full disk image', 'Patching the server', 'Running antivirus scans', 'Restarting the server')",A,gpt-4,A,"In addition to isolating an infected server, what other step is crucial for preservation of evidence?
A. Creating a full disk image
B. Patching the server
C. Running antivirus scans
D. Restarting the server
Answer:"
"When analyzing the network connections of a suspicious process with Process Explorer, what would most strongly indicate maliciousness?","('Large number of child processes', 'Unsigned executable file', 'Connections to many unique remote IPs', 'GUI application without a visible window')",C,gpt-4,C,"When analyzing the network connections of a suspicious process with Process Explorer, what would most strongly indicate maliciousness?
A. Large number of child processes
B. Unsigned executable file
C. Connections to many unique remote IPs
D. GUI application without a visible window
Answer:"
You are investigating a suspected insider threat. Which data source is least likely to be useful?,"('Email logs', 'Web proxy logs', 'badge reader logs', 'Host firewall logs')",D,gpt-4,C,"You are investigating a suspected insider threat. Which data source is least likely to be useful?
A. Email logs
B. Web proxy logs
C. badge reader logs
D. Host firewall logs
Answer:"
"Which Wireshark display filter will show only HTTP traffic containing the word ""password""?","('http contains ""password""', 'tcp contains ""password""', 'http.request.uri contains ""password""', 'http.authorization contains ""password""')",A,gpt-4,A,"Which Wireshark display filter will show only HTTP traffic containing the word ""password""?
A. http contains ""password""
B. tcp contains ""password""
C. http.request.uri contains ""password""
D. http.authorization contains ""password""
Answer:"
What is the best way to identify lateral movement by an attacker?,"('Look for processes running under unexpected user accounts', 'Check for logins to network devices', 'Review DNS logs for suspicious queries', 'Analyze network flows for large data transfers')",A,gpt-4,A,"What is the best way to identify lateral movement by an attacker?
A. Look for processes running under unexpected user accounts
B. Check for logins to network devices
C. Review DNS logs for suspicious queries
D. Analyze network flows for large data transfers
Answer:"
You find a malicious script in the web root of a compromised server. What should you do first?,"('Restore the server from backup', 'Analyze the script in a sandbox', 'Search for similar scripts on other servers', 'Update WAF rules to block the script')",B,gpt-4,B,"You find a malicious script in the web root of a compromised server. What should you do first?
A. Restore the server from backup
B. Analyze the script in a sandbox
C. Search for similar scripts on other servers
D. Update WAF rules to block the script
Answer:"
What is the most reliable way to confirm data exfiltration in network logs?,"('Large FTP transfers to external IPs', 'Connections to known bad IPs', 'DNS requests to DGA domains', 'Correlating flows with file modification times')",D,gpt-4,D,"What is the most reliable way to confirm data exfiltration in network logs?
A. Large FTP transfers to external IPs
B. Connections to known bad IPs
C. DNS requests to DGA domains
D. Correlating flows with file modification times
Answer:"
"When analyzing a malware memory dump, what is most useful for identifying its capabilities?","('Imported DLLs', 'Strings in process memory', 'Mutexes', 'Function names')",B,gpt-4,B,"When analyzing a malware memory dump, what is most useful for identifying its capabilities?
A. Imported DLLs
B. Strings in process memory
C. Mutexes
D. Function names
Answer:"
What tool is best for quickly scanning a network for hosts with SMBv1 enabled?,"('Nessus', 'Nmap', 'Burp Suite', 'Metasploit')",B,gpt-4,B,"What tool is best for quickly scanning a network for hosts with SMBv1 enabled?
A. Nessus
B. Nmap
C. Burp Suite
D. Metasploit
Answer:"
You discover an unauthorized WordPress installation on your company's web server. What should you do first?,"('Review WordPress audit logs', 'Check wp-config.php for suspicious changes', 'Update all WordPress plugins', 'Scan WordPress files for webshells')",D,gpt-4,A,"You discover an unauthorized WordPress installation on your company's web server. What should you do first?
A. Review WordPress audit logs
B. Check wp-config.php for suspicious changes
C. Update all WordPress plugins
D. Scan WordPress files for webshells
Answer:"
"During an incident, you need to quickly review authentication logs across multiple Linux servers. What's the best approach?","(""Manually SSH to each server and run 'ausearch'"", 'Deploy Sysmon to all servers', ""Run 'psloggedon' on each server"", ""Use SSH multiplexing to run 'lastlog' on all servers"")",D,gpt-4,D,"During an incident, you need to quickly review authentication logs across multiple Linux servers. What's the best approach?
A. Manually SSH to each server and run 'ausearch'
B. Deploy Sysmon to all servers
C. Run 'psloggedon' on each server
D. Use SSH multiplexing to run 'lastlog' on all servers
Answer:"
You find suspicious outbound network flows from a database server. What's the best way to determine if data was stolen?,"('Compare a list of flows to baseline', 'Restore the database from backup and compare table rows', 'Interview the database administrator', 'Review database query logs for the flow timestamps')",D,gpt-4,D,"You find suspicious outbound network flows from a database server. What's the best way to determine if data was stolen?
A. Compare a list of flows to baseline
B. Restore the database from backup and compare table rows
C. Interview the database administrator
D. Review database query logs for the flow timestamps
Answer:"
What's the most efficient way to recursively search for a specific file name pattern across multiple endpoints?,"('Agent-based EDR search', 'Powershell remoting', 'Login scripts', 'WMI queries')",A,gpt-4,A,"What's the most efficient way to recursively search for a specific file name pattern across multiple endpoints?
A. Agent-based EDR search
B. Powershell remoting
C. Login scripts
D. WMI queries
Answer:"
You identify a process on an endpoint with an unusual child-parent relationship. What is the most likely explanation?,"('A code-injection attack', 'A malware persistence mechanism', 'A legitimate system update procedure', 'An intrusion prevention system alert')",A,gpt-4,A,"You identify a process on an endpoint with an unusual child-parent relationship. What is the most likely explanation?
A. A code-injection attack
B. A malware persistence mechanism
C. A legitimate system update procedure
D. An intrusion prevention system alert
Answer:"
"When analyzing a suspicious executable in a disassembler, what is most likely to indicate it is packed?","('High entropy in file header', 'Presence of UPX strings', 'Lack of readable strings', 'Few recognized library calls')",D,gpt-4,A,"When analyzing a suspicious executable in a disassembler, what is most likely to indicate it is packed?
A. High entropy in file header
B. Presence of UPX strings
C. Lack of readable strings
D. Few recognized library calls
Answer:"
What is the best way to determine the initial entry point of an attack from a packet capture?,"('Session cookie analysis', 'Protocol anomaly detection', 'Correlating flows with IDS alerts', 'Analyzing TCP SYN packets')",C,gpt-4,D,"What is the best way to determine the initial entry point of an attack from a packet capture?
A. Session cookie analysis
B. Protocol anomaly detection
C. Correlating flows with IDS alerts
D. Analyzing TCP SYN packets
Answer:"
What is the most reliable indicator that an email attachment is malicious?,"(""Sender is not in recipient's address book"", 'Attachment type is uncommon for the recipient', 'Attachment hash matches known malware', 'Email headers show sender IP in an unexpected geolocation')",C,gpt-4,C,"What is the most reliable indicator that an email attachment is malicious?
A. Sender is not in recipient's address book
B. Attachment type is uncommon for the recipient
C. Attachment hash matches known malware
D. Email headers show sender IP in an unexpected geolocation
Answer:"
You need to analyze a suspicious Excel macro on a non-Internet connected workstation. What is the safest approach?,"('Open the macro in an isolated VM', 'Convert macro to Python and analyze', ""Use Excel's built-in macro analyzer"", 'Upload macro to a public analysis service')",A,gpt-4,A,"You need to analyze a suspicious Excel macro on a non-Internet connected workstation. What is the safest approach?
A. Open the macro in an isolated VM
B. Convert macro to Python and analyze
C. Use Excel's built-in macro analyzer
D. Upload macro to a public analysis service
Answer:"
What is the most effective way to determine if a server compromise originated from a spear-phishing email?,"(""Search email logs for the server administrator's account"", ""Review the server's antivirus quarantine folder"", 'Analyze email headers of suspicious messages', ""Check the server's 'sent mail' folder for user awareness messages"")",C,gpt-4,C,"What is the most effective way to determine if a server compromise originated from a spear-phishing email?
A. Search email logs for the server administrator's account
B. Review the server's antivirus quarantine folder
C. Analyze email headers of suspicious messages
D. Check the server's 'sent mail' folder for user awareness messages
Answer:"
You suspect DNS tunneling is happening on your network. What is the best way to investigate?,"('Use Wireshark to search for large DNS TXT responses', 'Review DHCP logs for suspicious leases', 'Check firewall logs for allow-listed DNS servers', 'Analyze Zeek DNS logs for high entropy queries')",D,gpt-4,D,"You suspect DNS tunneling is happening on your network. What is the best way to investigate?
A. Use Wireshark to search for large DNS TXT responses
B. Review DHCP logs for suspicious leases
C. Check firewall logs for allow-listed DNS servers
D. Analyze Zeek DNS logs for high entropy queries
Answer:"
"During an investigation, you find an unfamiliar scheduled task on a workstation. What should you do first?","('Delete the task', ""Check the task's file signature against known malware"", 'Analyze the task in a sandbox', 'Determine the user who created the task')",D,gpt-4,B,"During an investigation, you find an unfamiliar scheduled task on a workstation. What should you do first?
A. Delete the task
B. Check the task's file signature against known malware
C. Analyze the task in a sandbox
D. Determine the user who created the task
Answer:"
What is the most efficient way to detect a Pass-the-Hash attack in Windows event logs?,"('Search for Event ID 4624 with Logon Type 9', 'Filter events for new processes named ""lsass.exe""', 'Review events for duplicate Logon IDs from different IPs', 'Check for Event ID 4625 with Source Network Address of ""localhost""')",A,gpt-4,A,"What is the most efficient way to detect a Pass-the-Hash attack in Windows event logs?
A. Search for Event ID 4624 with Logon Type 9
B. Filter events for new processes named ""lsass.exe""
C. Review events for duplicate Logon IDs from different IPs
D. Check for Event ID 4625 with Source Network Address of ""localhost""
Answer:"
You suspect a user's credentials have been compromised. What's the best way to investigate using Zeek logs?,"('Check for successful logins from new IPs in the Zeek ""ssh.log""', 'Review the Zeek ""notice.log"" for bruteforce detection notices', 'Analyze the Zeek ""dns.log"" for suspicious domain lookups', 'Search the Zeek ""http.log"" for POST requests with the user\'s credentials')",A,gpt-4,A,"You suspect a user's credentials have been compromised. What's the best way to investigate using Zeek logs?
A. Check for successful logins from new IPs in the Zeek ""ssh.log""
B. Review the Zeek ""notice.log"" for bruteforce detection notices
C. Analyze the Zeek ""dns.log"" for suspicious domain lookups
D. Search the Zeek ""http.log"" for POST requests with the user's credentials
Answer:"
What is the most reliable indicator of data exfiltration in Zeek connection logs?,"('Large upload (orig_bytes) to a rare external IP', 'Long connection duration', 'High number of concurrent connections to the same dest IP', 'Connections to high ports on external IPs')",A,gpt-4,A,"What is the most reliable indicator of data exfiltration in Zeek connection logs?
A. Large upload (orig_bytes) to a rare external IP
B. Long connection duration
C. High number of concurrent connections to the same dest IP
D. Connections to high ports on external IPs
Answer:"
What is the best way to identify persistence mechanisms used by malware on a Linux host?,"('Check crontab entries for all users', 'Review ~/.bashrc files for unusual commands', 'Analyze strings in running process memory', ""Use 'find' to search for files modified in the last 48 hours"")",A,gpt-4,A,"What is the best way to identify persistence mechanisms used by malware on a Linux host?
A. Check crontab entries for all users
B. Review ~/.bashrc files for unusual commands
C. Analyze strings in running process memory
D. Use 'find' to search for files modified in the last 48 hours
Answer:"
You're investigating a malware infection on a Linux web server. Which directory is most likely to contain a webshell?,"('/var/log/', '/etc/nginx/', '/var/www/html/', '/tmp/')",C,gpt-4,C,"You're investigating a malware infection on a Linux web server. Which directory is most likely to contain a webshell?
A. /var/log/
B. /etc/nginx/
C. /var/www/html/
D. /tmp/
Answer:"
"When reviewing Snort IDS logs, what is most likely to indicate a true positive alert?","('High number of alerts for the same signature ID', 'Alerts with a priority of 1', 'Alerts correlating with Zeek connection logs', 'Alerts triggering on traffic to/from common ports')",C,gpt-4,C,"When reviewing Snort IDS logs, what is most likely to indicate a true positive alert?
A. High number of alerts for the same signature ID
B. Alerts with a priority of 1
C. Alerts correlating with Zeek connection logs
D. Alerts triggering on traffic to/from common ports
Answer:"
What is the most effective way to identify C2 traffic in Zeek DNS logs?,"('Queries to domains with high entropy', 'Queries to rarely-seen record types', 'Queries with very long response times', 'Queries to domains registered in the past week')",A,gpt-4,A,"What is the most effective way to identify C2 traffic in Zeek DNS logs?
A. Queries to domains with high entropy
B. Queries to rarely-seen record types
C. Queries with very long response times
D. Queries to domains registered in the past week
Answer:"
You've identified a compromised Windows endpoint. What's the best way to determine initial access using Event Logs?,"('Check the PowerShell Operational log for suspicious script executions', 'Review the System log for Event ID 7045 (new service installed)', 'Analyze the Security log for Event ID 4624 (successful logon)', 'Search the Application log for program installation events')",C,gpt-4,C,"You've identified a compromised Windows endpoint. What's the best way to determine initial access using Event Logs?
A. Check the PowerShell Operational log for suspicious script executions
B. Review the System log for Event ID 7045 (new service installed)
C. Analyze the Security log for Event ID 4624 (successful logon)
D. Search the Application log for program installation events
Answer:"
An internal webpage is displaying defaced content. What's the first step you should take to investigate?,"('Search webserver logs for SQL injection attempts', 'Diff the page source against a known-good version', 'Scan all webservers for indicators of compromise', 'Analyze netflow data for anomalous traffic to the webserver')",B,gpt-4,B,"An internal webpage is displaying defaced content. What's the first step you should take to investigate?
A. Search webserver logs for SQL injection attempts
B. Diff the page source against a known-good version
C. Scan all webservers for indicators of compromise
D. Analyze netflow data for anomalous traffic to the webserver
Answer:"
What is the most reliable indicator of data staging on an endpoint prior to exfiltration?,"('Large files in OS-default temp directories', 'Increase in volume of traffic on common ports', 'Unusual child processes of web browsers', 'Sudden decrease in free disk space')",A,gpt-4,D,"What is the most reliable indicator of data staging on an endpoint prior to exfiltration?
A. Large files in OS-default temp directories
B. Increase in volume of traffic on common ports
C. Unusual child processes of web browsers
D. Sudden decrease in free disk space
Answer:"
You've found suspicious Base64-encoded PowerShell on an endpoint. What's the best first step for analysis?,"('Run the decoded script in a sandbox', 'Use CyberChef to decode the commands', 'Search VirusTotal for the encoded script', 'Open the script in a text editor and manually decode')",B,gpt-4,B,"You've found suspicious Base64-encoded PowerShell on an endpoint. What's the best first step for analysis?
A. Run the decoded script in a sandbox
B. Use CyberChef to decode the commands
C. Search VirusTotal for the encoded script
D. Open the script in a text editor and manually decode
Answer:"
"During an investigation, you identify a PE file that was likely used to deploy ransomware. What's the best way to determine how it was executed?","('Check filesystem journals for references to the file path', 'Search Prefetch files for the executable name', 'Analyze PE header for packing indicators', 'Review the Windows Registry AutoRun keys')",B,gpt-4,B,"During an investigation, you identify a PE file that was likely used to deploy ransomware. What's the best way to determine how it was executed?
A. Check filesystem journals for references to the file path
B. Search Prefetch files for the executable name
C. Analyze PE header for packing indicators
D. Review the Windows Registry AutoRun keys
Answer:"
"When reviewing Sysmon Event ID 3 for network connections, what field is most relevant for identifying C2 traffic?","('Initiated', 'DestinationPort', 'DestinationIp', 'Image')",B,gpt-4,C,"When reviewing Sysmon Event ID 3 for network connections, what field is most relevant for identifying C2 traffic?
A. Initiated
B. DestinationPort
C. DestinationIp
D. Image
Answer:"
What is the most efficient way to determine the initial compromise vector using an EDR tool?,"('Analyze process lineage for all suspicious processes', 'Search endpoint logs for the first malware artifact detected', 'Review alerts timeline to identify the earliest high-severity event', 'Inspect enrichment data for reputation matches of external IPs')",B,gpt-4,A,"What is the most efficient way to determine the initial compromise vector using an EDR tool?
A. Analyze process lineage for all suspicious processes
B. Search endpoint logs for the first malware artifact detected
C. Review alerts timeline to identify the earliest high-severity event
D. Inspect enrichment data for reputation matches of external IPs
Answer:"
You identify a spike in network traffic to a workstation using netflow data. What's the best next investigative step?,"('Isolate the workstation and create a full disk image', 'Deploy an EDR sensor to the workstation and monitor its processes', 'Scan the workstation with antivirus and remediate any findings', 'Conduct a network vulnerability scan targeting the workstation')",B,gpt-4,B,"You identify a spike in network traffic to a workstation using netflow data. What's the best next investigative step?
A. Isolate the workstation and create a full disk image
B. Deploy an EDR sensor to the workstation and monitor its processes
C. Scan the workstation with antivirus and remediate any findings
D. Conduct a network vulnerability scan targeting the workstation
Answer:"
What is the best source of evidence to identify the initial vector of a ransomware infection on a Windows host?,"('PowerShell script block logging', 'Sysmon process creation events', 'Windows Security event ID 4688', 'Prefetch files')",C,gpt-4,B,"What is the best source of evidence to identify the initial vector of a ransomware infection on a Windows host?
A. PowerShell script block logging
B. Sysmon process creation events
C. Windows Security event ID 4688
D. Prefetch files
Answer:"
You need to quickly identify if a suspected C2 domain has been seen in proxy logs. What's the most efficient approach?,"('Load all proxy logs into Splunk and search there', ""Use 'grep' to search log files locally"", 'Write a Python script to parse log files and alert on matches', 'Search logs using built-in tools on the proxy device')",D,gpt-4,A,"You need to quickly identify if a suspected C2 domain has been seen in proxy logs. What's the most efficient approach?
A. Load all proxy logs into Splunk and search there
B. Use 'grep' to search log files locally
C. Write a Python script to parse log files and alert on matches
D. Search logs using built-in tools on the proxy device
Answer:"
What is the best way to determine which endpoints have connected to a malicious IP using Zeek conn logs?,"(""Filter on destination IP and count unique 'id.orig_h' values"", ""Extract all 'id.resp_h' IPs and run 'whois' on each"", 'Compare source IPs to DHCP lease logs', 'Check if the destination IP appears in any notice logs')",A,gpt-4,A,"What is the best way to determine which endpoints have connected to a malicious IP using Zeek conn logs?
A. Filter on destination IP and count unique 'id.orig_h' values
B. Extract all 'id.resp_h' IPs and run 'whois' on each
C. Compare source IPs to DHCP lease logs
D. Check if the destination IP appears in any notice logs
Answer:"
You've extracted a malicious Excel macro. What's the safest way to analyze its functionality?,"('Monitor its behavior in a sandbox VM', 'Convert to VBA and debug in Excel', 'Upload to VirusTotal and review behavior report', 'Decompile and manually analyze the p-code')",A,gpt-4,A,"You've extracted a malicious Excel macro. What's the safest way to analyze its functionality?
A. Monitor its behavior in a sandbox VM
B. Convert to VBA and debug in Excel
C. Upload to VirusTotal and review behavior report
D. Decompile and manually analyze the p-code
Answer:"
What is the most reliable indicator that a system is compromised based on Linux authentication logs?,"('Logins outside normal business hours', 'Logins from unexpected countries', 'Short-lived SSH sessions', 'Logins immediately following creation of a new user')",D,gpt-4,B,"What is the most reliable indicator that a system is compromised based on Linux authentication logs?
A. Logins outside normal business hours
B. Logins from unexpected countries
C. Short-lived SSH sessions
D. Logins immediately following creation of a new user
Answer:"
You find a webshell on an Internet-facing server. What's the best way to determine if it was used for lateral movement?,"('Review filesystem journaling logs to track file modifications on other servers', 'Analyze netflow data for connections from the webserver to internal IPs', 'Check Windows Security logs on other servers for logins by the web user', 'Search EDR alerts for IOCs associated with the webshell')",B,gpt-4,B,"You find a webshell on an Internet-facing server. What's the best way to determine if it was used for lateral movement?
A. Review filesystem journaling logs to track file modifications on other servers
B. Analyze netflow data for connections from the webserver to internal IPs
C. Check Windows Security logs on other servers for logins by the web user
D. Search EDR alerts for IOCs associated with the webshell
Answer:"
What is the best way to determine the scope of compromise after identifying a malware infection on a Linux server?,"(""Analyze network connections made by the server's processes"", 'Review authentication logs for logins from the infected server', 'Search other servers for the same malware file hash', 'Scan all servers on the same VLAN using antivirus')",A,gpt-4,A,"What is the best way to determine the scope of compromise after identifying a malware infection on a Linux server?
A. Analyze network connections made by the server's processes
B. Review authentication logs for logins from the infected server
C. Search other servers for the same malware file hash
D. Scan all servers on the same VLAN using antivirus
Answer:"
You identify a malicious PowerShell script on a compromised endpoint. What's the best way to determine its origin?,"('Check PowerShell Operational log for script invocation events', ""Search web proxy logs for 'application/x-ps1' downloads"", 'Analyze script strings for URL references', 'Review EDR behavioral alerts around the creation timestamp')",A,gpt-4,A,"You identify a malicious PowerShell script on a compromised endpoint. What's the best way to determine its origin?
A. Check PowerShell Operational log for script invocation events
B. Search web proxy logs for 'application/x-ps1' downloads
C. Analyze script strings for URL references
D. Review EDR behavioral alerts around the creation timestamp
Answer:"
What is the most reliable indicator of data exfiltration in AWS VPC Flow Logs?,"('Large outbound flows to rare IPs on port 443', 'Inbound reject flows from external IPs', 'Flows between unliked security groups', 'Large inbound flows from the webserver security group')",A,gpt-4,A,"What is the most reliable indicator of data exfiltration in AWS VPC Flow Logs?
A. Large outbound flows to rare IPs on port 443
B. Inbound reject flows from external IPs
C. Flows between unliked security groups
D. Large inbound flows from the webserver security group
Answer:"
An ELK alert fires on suspicious outbound network activity. What's the first investigative step using ELK?,"('Review Packetbeat flow data around the alert timestamp', 'Inspect geolocation of source IP in logs', 'Search for related alerts in a longer timeframe', 'Pivot to Auditbeat endpoint data for the destination IP')",C,gpt-4,A,"An ELK alert fires on suspicious outbound network activity. What's the first investigative step using ELK?
A. Review Packetbeat flow data around the alert timestamp
B. Inspect geolocation of source IP in logs
C. Search for related alerts in a longer timeframe
D. Pivot to Auditbeat endpoint data for the destination IP
Answer:"
"During incident response, you find a malicious 'authorized_keys' file in a user's SSH directory. What's the best way to search for the same key on other hosts?","(""Use 'ssh-keygen' to get the fingerprint and search host filesystems"", ""Gather a list of all hosts and 'grep' each '.ssh' directory"", 'Extract the public key text and search centralized logging', ""Run 'ssh-keyscan' against all hosts to gather keys for comparison"")",B,gpt-4,A,"During incident response, you find a malicious 'authorized_keys' file in a user's SSH directory. What's the best way to search for the same key on other hosts?
A. Use 'ssh-keygen' to get the fingerprint and search host filesystems
B. Gather a list of all hosts and 'grep' each '.ssh' directory
C. Extract the public key text and search centralized logging
D. Run 'ssh-keyscan' against all hosts to gather keys for comparison
Answer:"
What is the best way to identify what data an attacker accessed on a compromised Linux host?,"(""Analyze 'auditd' logs for file access events by the attacker's processes"", ""Review 'auth.log' for privilege escalation events"", 'Correlate timestamps of file modifications with attacker activity', 'Interview the system owner about critical files on the host')",A,gpt-4,A,"What is the best way to identify what data an attacker accessed on a compromised Linux host?
A. Analyze 'auditd' logs for file access events by the attacker's processes
B. Review 'auth.log' for privilege escalation events
C. Correlate timestamps of file modifications with attacker activity
D. Interview the system owner about critical files on the host
Answer:"
You need to review a packet capture for evidence of data exfiltration. What's the most efficient approach using only command-line tools?,"(""Use 'tcpdump' to filter packets by size and destination port"", ""Run 'tshark' to extract all FTP and HTTP objects"", ""Use 'ngrep' to search for keywords in packet contents"", ""Run 'tcpflow' to extract full TCP sessions for analysis"")",D,gpt-4,D,"You need to review a packet capture for evidence of data exfiltration. What's the most efficient approach using only command-line tools?
A. Use 'tcpdump' to filter packets by size and destination port
B. Run 'tshark' to extract all FTP and HTTP objects
C. Use 'ngrep' to search for keywords in packet contents
D. Run 'tcpflow' to extract full TCP sessions for analysis
Answer:"
What is the most reliable indicator of lateral movement in Windows event logs?,"('4624 events with Logon Type 10', ""4672 events for 'Administrator' account"", '4688 events with a command line including ""psexec""', ""5140 events for the 'C$' share"")",C,gpt-4,A,"What is the most reliable indicator of lateral movement in Windows event logs?
A. 4624 events with Logon Type 10
B. 4672 events for 'Administrator' account
C. 4688 events with a command line including ""psexec""
D. 5140 events for the 'C$' share
Answer:"
You find evidence of USB mass storage usage on a host despite it being disabled by policy. What's the best way to investigate further?,"(""Search the host filesystem for '.lnk' files"", 'Check Windows event logs for 4663 events on USB device files', ""Review registry keys under 'HKLM\\System\\CurrentControlSet\\Enum\\USBSTOR'"", ""Query 'Setup API' logs for USB installation events"")",B,gpt-4,C,"You find evidence of USB mass storage usage on a host despite it being disabled by policy. What's the best way to investigate further?
A. Search the host filesystem for '.lnk' files
B. Check Windows event logs for 4663 events on USB device files
C. Review registry keys under 'HKLM\System\CurrentControlSet\Enum\USBSTOR'
D. Query 'Setup API' logs for USB installation events
Answer:"
"During an investigation, you identify a malicious DLL loaded by a legitimate process. What is the best source of evidence to determine how it was loaded?","('Sysmon Event ID 7 (Image Loaded)', 'ShimCache registry entries', 'Prefetch files', 'Amcache.hve registry hive')",A,gpt-4,A,"During an investigation, you identify a malicious DLL loaded by a legitimate process. What is the best source of evidence to determine how it was loaded?
A. Sysmon Event ID 7 (Image Loaded)
B. ShimCache registry entries
C. Prefetch files
D. Amcache.hve registry hive
Answer:"
